Object Tracking Data File Wed, Jan 31, 2024 3:43 PM
X (pixels)  	Y (pixels)  
97.68	215.25
100.05	211.33
102.91	209.04
104.95	213.65
103.47	210.25
106.36	211.62
108.52	221.43
114.31	223.37
111.62	219.22
110.18	219.32
113.94	225.11
115.89	228.55
116.14	232.11
116.76	230.55
118.12	232.38
120.94	234.53
124.67	234.18
125.00	239.56
127.13	240.22
126.99	241.51
132.94	242.78
137.56	234.06
140.20	239.52
142.34	242.68
133.45	244.40
139.37	244.25
141.49	246.72
144.22	254.21
139.36	263.62
147.32	260.09
147.02	259.07
143.70	261.82
146.41	264.40
142.02	266.59
140.69	265.79
141.74	261.34
141.83	252.66
139.04	257.35
139.79	252.50
148.52	254.90
151.27	256.02
154.89	248.77
159.03	255.66
161.42	254.84
153.00	258.59
154.21	261.41
153.64	255.95
155.56	253.38
155.30	251.39
156.92	257.44
149.36	258.61
149.42	253.62
154.00	250.05
155.27	247.97
152.41	247.21
148.58	251.70
151.46	252.97
154.20	252.61
153.88	254.01
158.99	248.57
161.62	243.41
162.28	241.39
165.25	241.81
159.79	246.74
160.59	247.20
153.76	250.14
149.84	249.27
153.52	251.70
155.04	250.35
153.16	250.03
150.06	253.80
153.18	252.02
153.55	253.15
155.44	253.21
151.32	256.28
148.37	255.72
150.92	257.27
156.32	251.34
159.54	251.81
157.87	251.64
160.23	256.50
166.04	258.69
161.06	254.97
158.55	258.30
159.11	263.69
154.49	269.15
158.20	274.20
150.22	274.36
154.50	267.04
152.90	270.85
149.73	270.89
140.96	273.45
144.83	274.06
146.27	280.32
149.31	277.95
145.31	277.43
143.85	274.42
139.09	272.45
142.08	273.13
145.37	269.03
144.21	269.29
146.13	270.27
149.07	268.94
144.73	259.81
143.20	261.51
147.23	260.87
142.96	259.81
141.89	261.71
140.19	265.13
140.08	261.97
132.28	265.53
129.17	265.76
126.56	264.73
124.27	264.55
125.11	269.12
122.98	271.14
120.59	271.60
121.26	277.45
124.41	278.96
124.72	278.03
