Object Tracking Data File Wed, Jan 31, 2024 3:34 PM
X (pixels)  	Y (pixels)  
724.52	423.64
726.75	418.73
731.28	421.78
732.34	418.84
735.99	419.60
733.60	414.16
728.80	413.32
727.09	411.20
727.71	409.23
725.71	409.17
729.91	414.06
729.71	413.95
723.15	416.07
729.41	411.54
733.44	413.96
735.78	418.21
737.07	411.96
736.01	411.80
732.78	414.52
735.22	413.68
739.65	410.09
746.91	408.81
743.21	408.08
744.90	413.32
748.12	416.53
743.06	413.55
742.37	413.74
744.10	415.21
750.73	422.01
747.09	426.49
745.40	431.21
746.75	428.75
748.98	425.01
751.12	424.94
754.60	428.67
752.57	428.84
760.76	431.32
765.07	433.66
768.51	431.38
766.73	423.92
767.18	423.94
767.12	424.42
770.76	424.49
772.23	428.78
774.37	428.01
772.87	429.54
769.31	424.25
771.40	426.55
767.90	421.42
766.38	421.59
766.24	428.35
770.65	426.25
776.67	428.11
773.23	430.48
772.76	428.06
773.05	434.57
775.84	439.14
780.10	433.45
774.78	433.96
772.68	437.95
775.58	437.02
776.55	431.62
779.65	435.63
783.99	446.87
787.72	448.58
789.03	447.06
790.98	440.83
794.37	438.38
794.83	439.66
792.38	439.70
801.79	441.79
799.04	448.18
793.38	444.08
799.27	442.24
799.25	449.59
800.64	447.32
801.45	452.41
799.68	457.49
800.82	454.98
796.83	455.12
798.84	455.43
797.27	452.35
800.16	453.43
794.20	454.45
793.92	449.62
797.44	451.28
792.05	445.81
789.62	446.49
794.51	453.67
795.72	459.78
799.95	463.97
799.17	462.66
798.15	464.08
796.92	462.57
797.57	456.78
800.01	455.27
800.39	455.16
799.00	451.54
799.80	452.48
797.48	453.75
800.13	449.76
797.17	442.80
796.28	441.66
797.08	445.96
797.36	446.16
798.40	447.17
796.62	446.30
794.73	446.77
795.35	443.67
795.18	446.11
796.04	449.29
802.31	446.90
802.77	450.28
803.88	454.45
802.61	457.09
798.79	457.51
796.55	455.69
801.15	459.92
805.27	461.25
811.98	462.44
