Object Tracking Data File Wed, Jan 31, 2024 3:28 PM
X (pixels)  	Y (pixels)  
920.13	445.52
919.05	446.94
913.11	447.61
919.47	450.16
919.55	448.02
916.16	447.56
913.07	445.10
912.41	450.03
909.18	448.36
900.81	446.23
904.95	450.38
902.32	455.15
900.44	457.76
894.16	466.23
893.71	468.82
891.19	471.20
892.90	473.69
893.23	479.56
893.64	477.07
894.89	478.71
895.81	479.15
893.32	485.71
893.03	484.32
887.88	484.92
886.69	481.51
884.80	482.89
885.23	487.60
883.69	490.00
884.31	492.32
889.41	490.68
890.88	494.45
901.56	494.69
901.29	489.09
898.17	488.41
899.48	489.15
901.61	487.28
896.69	490.65
896.62	494.48
893.12	498.66
893.80	498.64
894.92	492.70
903.34	492.78
905.75	502.84
912.22	500.47
912.61	503.55
916.25	502.25
925.10	506.44
921.58	511.81
928.77	506.03
924.70	506.38
926.04	510.61
930.18	505.91
925.74	505.17
931.72	506.04
930.03	498.13
933.53	497.91
931.80	490.89
929.30	488.47
932.40	484.72
937.94	484.06
939.63	479.45
936.09	473.45
935.56	473.08
931.83	468.46
933.11	466.19
934.35	465.18
942.53	468.18
942.88	470.83
944.15	471.83
945.09	476.00
943.32	476.59
939.00	478.27
938.48	476.83
942.47	480.58
946.49	484.55
944.76	484.10
946.97	488.13
946.49	484.24
946.09	481.21
944.99	485.69
939.98	488.61
942.44	488.88
945.38	487.76
952.30	477.08
954.56	476.93
951.72	472.66
946.67	471.23
948.56	472.40
944.73	470.19
942.45	468.69
942.03	467.54
945.66	467.46
945.73	467.45
947.68	466.79
944.95	462.19
946.39	462.90
947.15	463.77
949.34	468.54
948.52	472.50
950.24	479.70
954.18	477.60
952.74	476.91
952.24	484.37
947.81	491.62
949.37	489.05
948.75	487.99
945.06	487.91
943.94	481.00
947.81	481.22
946.99	484.39
948.65	485.57
953.23	487.91
954.12	487.63
958.93	485.03
955.16	483.51
948.90	483.71
952.71	486.58
948.55	485.63
946.96	483.62
956.03	484.01
