Object Tracking Data File Wed, Jan 31, 2024 3:17 PM
X (pixels)  	Y (pixels)  
603.03	567.78
602.93	576.28
608.30	577.13
606.86	580.94
602.88	577.77
602.36	582.50
601.43	582.56
599.75	585.46
597.78	582.98
599.07	587.07
594.83	588.84
601.73	588.81
611.66	590.52
610.40	597.59
605.75	591.61
604.70	588.36
609.66	585.16
607.37	586.43
611.29	589.03
608.76	591.93
610.95	593.73
614.72	595.69
612.54	589.83
609.71	589.29
608.59	589.67
610.33	588.24
612.07	592.12
612.99	587.66
614.30	585.05
609.46	585.90
605.87	585.64
607.41	588.03
614.16	585.70
611.13	586.84
605.45	585.62
609.43	583.98
609.02	577.10
609.24	576.15
604.05	578.77
603.45	574.21
599.18	579.63
597.02	579.58
597.01	579.84
596.83	575.75
593.08	574.34
590.14	571.81
588.83	573.82
591.93	578.07
599.70	572.34
601.10	571.35
599.11	571.85
597.61	572.98
596.97	579.22
598.17	578.01
597.63	583.56
600.92	580.92
602.27	584.69
608.03	579.84
612.88	585.12
617.42	583.02
614.04	584.23
613.66	587.83
616.75	585.66
614.45	587.12
613.94	590.18
606.64	594.67
606.29	594.63
610.86	593.45
612.33	597.02
614.86	590.75
612.83	596.38
610.48	597.32
611.99	600.07
617.48	598.01
617.22	604.69
614.72	599.11
611.48	590.81
613.58	588.30
610.58	590.01
606.06	592.30
606.63	593.30
606.68	593.30
611.77	593.41
617.33	597.32
618.79	597.41
614.74	594.98
617.44	595.73
621.02	594.56
627.45	585.06
625.58	582.13
622.85	585.72
627.38	587.23
628.08	584.14
624.74	587.77
626.95	587.57
625.53	589.58
623.40	590.27
627.33	590.17
626.82	589.27
627.33	586.66
622.77	582.70
626.63	585.59
626.99	586.40
618.79	590.69
618.42	595.78
620.82	597.82
620.70	598.14
615.89	598.04
619.78	591.95
621.36	596.81
625.15	591.80
630.14	595.61
632.66	593.05
626.14	595.28
622.30	595.69
616.62	600.48
620.78	595.78
618.83	596.15
614.57	591.67
611.41	596.93
