Object Tracking Data File Wed, Jan 31, 2024 3:28 PM
X (pixels)  	Y (pixels)  
85.02	615.99
83.38	618.94
89.67	618.06
88.63	619.52
90.03	622.41
94.57	620.18
93.67	623.43
94.43	619.78
93.25	622.79
87.55	631.38
91.65	629.67
94.49	633.29
89.02	637.56
90.27	640.34
87.96	639.08
89.83	643.70
87.70	647.57
81.75	649.41
83.42	654.25
82.61	655.96
89.62	647.59
93.70	650.42
94.29	646.64
91.42	646.70
90.62	643.58
95.51	644.13
97.36	644.10
102.01	642.69
100.08	643.16
97.77	643.09
99.35	649.22
98.78	652.23
94.67	653.62
97.30	646.62
95.46	643.65
89.04	641.32
89.43	636.02
92.58	636.96
88.89	631.17
93.51	627.06
95.08	621.51
97.25	621.22
97.57	619.10
96.60	617.99
98.98	622.04
98.72	627.70
93.92	627.98
93.54	621.68
94.67	624.54
89.01	622.52
93.70	623.33
93.23	623.17
92.04	625.50
86.86	630.74
81.49	634.23
82.74	631.04
82.65	633.10
83.18	637.58
85.85	633.74
82.60	634.14
85.91	636.15
89.39	639.64
87.15	641.06
95.06	641.49
92.02	645.68
97.30	644.19
102.07	642.58
105.38	642.74
109.23	639.96
101.66	645.00
103.03	644.10
103.46	634.08
104.15	633.72
100.68	631.15
105.72	629.87
108.74	631.43
107.90	627.11
108.03	631.76
105.47	635.41
110.06	634.72
110.67	635.75
111.33	634.94
110.92	638.66
114.19	638.45
115.81	638.34
121.22	642.65
124.21	644.70
123.72	644.43
123.36	635.89
124.00	635.26
127.05	640.62
130.34	635.36
127.36	632.53
124.60	636.24
127.09	641.44
127.55	640.71
128.71	650.46
129.57	650.84
131.92	653.24
138.29	655.51
145.24	657.54
144.75	657.53
145.97	657.95
142.08	659.44
142.50	659.78
145.02	662.58
152.57	660.79
155.46	661.17
159.02	663.20
169.59	662.41
173.05	659.49
171.82	652.58
172.16	657.17
173.07	661.70
177.82	661.11
183.15	662.71
181.35	666.41
185.29	668.90
179.88	672.51
181.07	671.28
