Object Tracking Data File Wed, Jan 31, 2024 3:21 PM
X (pixels)  	Y (pixels)  
179.47	264.18
193.17	259.95
200.60	263.26
196.18	267.37
194.77	270.18
199.56	269.36
197.13	273.75
197.89	273.85
194.34	272.19
202.31	275.39
197.49	275.01
199.88	274.36
201.11	271.26
201.83	269.33
197.33	266.76
201.57	267.48
202.04	265.30
200.37	268.69
211.37	266.90
213.55	268.15
214.97	273.75
210.95	270.52
212.41	269.07
209.37	266.09
208.91	267.80
212.52	268.15
216.87	268.71
215.08	264.44
213.14	267.18
219.33	266.16
216.45	269.23
214.59	269.17
219.18	270.41
214.34	272.34
219.26	274.52
216.75	279.10
221.99	279.97
220.09	277.65
220.05	274.46
219.45	266.17
216.23	268.79
215.45	268.10
219.12	269.93
219.95	270.91
224.54	273.49
220.67	270.00
224.38	273.04
225.09	271.73
226.75	270.16
219.94	269.29
215.25	267.69
208.97	271.93
211.86	263.35
214.49	263.84
216.94	260.77
212.16	254.80
209.51	255.69
212.48	258.82
205.74	257.90
204.23	266.53
204.85	263.28
198.82	264.26
193.97	265.74
200.19	262.23
201.01	265.66
195.98	268.18
194.33	268.95
191.35	267.76
190.04	271.51
191.02	276.77
192.06	271.11
194.89	269.85
194.91	275.36
195.47	280.04
192.46	277.44
195.71	278.35
193.77	274.63
193.57	277.11
193.59	277.78
199.02	283.10
198.15	283.51
199.12	277.15
204.36	273.22
209.66	273.53
208.90	278.05
208.85	279.40
211.95	274.90
217.25	273.80
217.81	273.06
221.36	268.89
224.78	270.23
223.45	269.84
220.97	268.24
228.13	271.54
226.43	269.82
228.28	271.52
227.71	272.46
231.95	274.02
225.60	271.53
225.58	275.24
224.76	269.77
223.85	273.30
222.73	270.21
227.65	271.22
220.26	269.39
216.71	265.60
218.44	265.81
218.52	265.92
216.71	267.26
212.53	268.68
207.34	265.83
203.53	262.45
210.43	262.02
215.63	258.93
212.45	259.74
207.37	263.42
214.22	260.71
211.09	262.99
211.45	270.18
209.02	272.95
