Object Tracking Data File Wed, Jan 31, 2024 3:22 PM
X (pixels)  	Y (pixels)  
949.04	360.12
951.19	358.21
949.56	352.13
950.49	356.11
959.40	351.27
956.89	353.75
962.85	357.74
962.14	361.51
967.28	360.42
966.26	356.38
965.98	362.63
964.17	357.44
964.39	364.63
959.75	364.90
959.61	360.79
965.08	361.44
970.82	354.11
968.88	355.42
971.29	353.84
972.18	350.29
970.76	351.83
974.57	355.93
975.48	355.20
973.09	357.16
974.88	361.22
976.94	363.00
975.80	359.22
981.13	359.75
979.60	358.93
981.09	361.19
983.40	365.64
985.87	365.17
986.87	369.10
993.68	373.15
993.24	375.95
996.29	375.58
999.51	377.42
997.62	375.99
999.69	374.25
1003.29	376.55
1007.35	378.12
1016.61	380.81
1014.93	377.85
1010.74	374.62
1004.12	374.90
1001.37	381.40
1000.37	380.07
1000.29	375.63
998.79	374.33
1000.43	375.99
1001.01	378.84
1003.37	373.07
999.13	372.51
998.34	365.76
999.56	363.23
1001.10	364.52
1003.05	367.00
1001.89	370.48
1001.14	367.76
1001.99	372.32
998.13	369.85
1000.90	364.67
995.66	365.34
991.74	363.16
990.71	359.98
990.45	362.19
997.68	364.81
1000.41	366.29
1001.43	366.86
1001.81	367.37
1000.80	367.38
999.74	365.16
995.78	367.74
991.49	368.09
993.46	369.81
999.29	370.86
997.52	369.94
1000.37	373.91
998.98	372.90
1000.85	369.18
1003.74	369.34
997.76	362.22
999.34	355.60
1000.11	352.57
994.75	348.56
996.42	344.86
991.78	345.91
990.47	350.33
990.37	349.80
992.62	349.50
995.55	357.74
995.17	353.47
992.13	356.29
997.02	349.09
995.29	354.98
1001.33	353.41
1003.09	355.11
1001.88	355.44
998.62	353.08
1002.78	353.44
1001.28	352.01
995.09	353.72
989.58	359.24
993.51	359.66
989.41	362.24
990.53	363.98
991.38	366.72
985.62	362.62
982.03	364.62
984.40	363.88
988.20	358.37
992.10	361.94
994.26	363.16
995.95	359.65
996.18	364.24
994.52	368.75
997.17	366.98
994.61	358.08
995.81	360.12
996.69	364.95
