Object Tracking Data File Wed, Jan 31, 2024 3:15 PM
X (pixels)  	Y (pixels)  
522.52	639.09
530.04	639.61
529.33	633.50
526.61	635.40
526.62	635.96
528.65	631.36
519.82	624.68
520.22	628.78
514.75	631.46
512.48	634.86
512.32	632.39
513.17	634.20
510.71	634.48
517.53	634.07
520.32	634.20
518.67	629.07
517.60	627.31
523.77	627.64
529.38	627.14
527.54	627.66
526.84	629.75
522.57	629.90
523.62	631.40
528.44	625.17
530.78	626.51
524.28	626.77
525.08	627.90
526.49	628.94
528.03	627.27
524.39	626.37
526.98	622.21
526.07	624.44
528.37	629.76
531.63	627.97
533.79	628.25
530.40	630.27
530.92	634.62
526.90	636.89
528.14	637.05
526.06	638.59
526.98	636.86
529.15	634.86
532.09	638.70
531.22	643.18
526.82	641.84
524.29	642.65
524.48	640.08
523.95	640.40
525.00	637.63
527.63	638.61
526.45	639.49
529.14	639.59
529.21	637.76
527.27	637.60
528.50	638.71
531.18	639.32
533.90	640.13
537.22	641.50
536.23	641.35
538.27	642.82
534.07	643.85
530.33	641.40
531.28	639.92
525.87	639.53
530.80	639.48
532.23	637.03
530.54	638.45
528.79	637.27
529.70	638.96
528.89	639.78
526.71	642.15
530.56	642.75
536.09	645.29
537.16	647.37
539.11	647.00
536.36	650.38
537.73	649.64
536.03	651.62
537.32	652.70
541.33	651.25
547.16	649.02
549.02	649.43
545.88	646.04
541.93	648.85
538.39	648.97
539.09	648.17
539.74	643.47
536.53	640.63
540.26	642.50
539.59	644.49
539.55	650.63
537.54	650.68
543.55	651.38
546.52	652.63
550.03	649.56
547.47	651.96
542.69	651.62
539.62	655.02
539.65	647.98
536.98	643.79
540.09	645.38
538.95	640.61
541.71	638.58
546.17	638.74
544.86	641.62
545.29	641.94
545.38	639.10
547.49	636.35
549.19	636.80
545.98	631.59
544.67	634.73
545.32	633.12
543.54	632.74
544.34	634.45
545.62	632.22
548.34	636.16
548.17	631.59
545.65	628.13
545.50	629.33
547.63	628.07
