Object Tracking Data File Wed, Jan 31, 2024 3:34 PM
X (pixels)  	Y (pixels)  
913.30	126.99
916.08	127.61
922.00	127.52
920.96	124.66
919.64	126.22
916.86	127.11
909.49	119.69
910.47	115.96
912.34	115.25
913.73	111.10
909.16	113.53
912.12	113.28
911.88	109.52
912.08	109.06
911.98	114.61
911.97	109.07
914.10	109.71
910.66	108.70
911.50	106.64
908.28	107.83
912.30	112.98
909.34	112.20
914.22	112.74
916.26	113.02
918.63	117.14
919.09	120.97
920.63	121.69
915.92	122.54
913.62	120.68
912.67	119.78
914.11	117.79
916.75	127.17
911.91	133.20
905.31	136.52
907.32	132.30
909.39	131.24
907.15	126.50
907.15	128.12
910.26	133.44
909.45	124.80
905.42	128.69
902.38	126.51
904.49	126.41
900.05	130.32
902.99	131.20
906.90	123.26
902.15	120.82
900.82	123.70
899.25	129.34
896.85	127.14
899.06	127.79
895.39	130.76
895.77	131.64
889.92	131.46
890.84	133.17
888.71	127.85
881.51	126.00
882.18	130.41
882.51	132.97
883.03	138.09
883.05	135.10
878.66	130.97
875.12	133.57
876.67	128.99
878.43	126.86
873.49	124.61
877.35	124.92
876.83	128.50
877.85	127.20
871.33	123.53
868.48	123.17
874.48	126.57
871.65	128.06
868.82	132.40
864.36	136.49
872.09	137.61
877.11	136.42
874.35	136.08
876.72	140.22
876.53	142.03
882.06	142.03
879.27	140.31
879.44	140.25
876.63	136.70
879.02	134.72
880.52	135.14
880.72	133.13
873.01	130.58
874.68	127.57
876.07	126.76
874.47	128.83
871.24	130.52
872.51	135.59
871.62	132.34
874.71	131.09
876.23	132.66
879.34	131.15
879.33	133.09
877.64	129.35
879.67	129.11
880.18	126.71
883.83	128.23
881.76	128.08
882.51	125.58
881.53	124.53
877.52	126.89
878.08	123.36
880.59	127.86
882.51	137.29
876.42	134.33
874.14	136.57
865.23	135.52
866.05	136.62
866.45	138.63
866.29	142.44
867.98	139.34
875.47	140.50
881.27	143.47
881.78	143.93
883.96	145.81
