Object Tracking Data File Wed, Jan 31, 2024 3:20 PM
X (pixels)  	Y (pixels)  
549.62	227.14
558.88	233.86
559.53	233.95
554.28	228.56
554.24	227.10
556.15	231.17
554.75	231.94
551.40	230.97
545.87	229.04
550.21	229.31
549.56	236.70
548.22	234.19
551.10	231.37
556.96	228.84
556.60	230.30
557.15	229.29
557.54	228.72
553.90	233.00
554.66	238.20
556.87	243.74
555.04	246.56
558.13	248.87
558.83	254.30
556.11	253.74
553.18	251.12
555.66	248.47
562.58	240.55
563.93	246.43
561.55	245.60
562.35	247.99
566.78	245.29
564.39	246.22
568.89	248.52
566.68	250.17
563.47	243.60
564.45	242.28
564.13	240.37
563.45	239.96
565.83	244.75
569.43	242.09
570.75	243.32
567.79	241.92
564.16	244.99
568.67	244.01
572.33	245.02
576.05	248.07
573.62	248.27
571.32	249.65
572.48	251.23
568.10	252.71
572.20	256.86
578.44	260.13
575.42	264.68
573.63	266.12
566.02	267.12
566.12	267.93
567.04	265.37
570.59	256.50
566.03	251.74
566.70	249.94
565.67	250.74
570.71	259.72
574.64	259.47
576.27	258.33
577.03	259.50
577.44	253.84
582.07	250.62
583.54	258.15
585.15	252.32
592.90	250.40
594.31	246.67
599.15	247.45
599.36	242.55
601.31	241.39
593.57	239.82
596.85	242.55
603.96	238.42
599.12	237.07
599.97	232.38
598.01	238.62
604.32	239.02
602.82	238.21
596.79	238.35
596.86	233.87
599.12	238.77
598.69	240.24
598.47	242.05
601.24	242.01
605.98	238.65
611.82	237.69
604.43	239.19
598.62	227.56
600.15	223.26
604.40	223.93
610.41	217.53
606.69	215.26
608.05	216.26
612.67	212.37
611.86	219.10
606.53	216.90
600.22	219.58
602.13	226.03
597.48	222.04
594.74	219.28
593.17	220.83
593.82	223.99
593.57	223.10
595.37	219.56
600.50	222.50
601.47	228.14
607.61	228.25
616.70	230.99
614.97	234.55
615.28	235.94
620.52	236.60
620.56	242.97
619.90	242.33
623.96	239.28
623.92	237.59
619.11	236.37
