Object Tracking Data File Wed, Jan 31, 2024 3:43 PM
X (pixels)  	Y (pixels)  
872.35	253.54
876.25	256.53
874.09	258.67
880.67	261.59
880.82	259.42
883.71	259.74
889.25	257.69
880.79	258.15
883.96	266.69
883.96	262.15
884.10	263.82
881.13	262.91
879.70	263.06
884.33	263.62
881.24	262.98
880.19	257.33
884.45	258.86
888.28	267.75
892.51	265.55
889.00	267.55
888.53	265.57
888.50	267.94
885.44	271.34
879.55	272.74
875.04	277.58
875.96	273.14
877.77	269.47
879.30	270.29
878.29	271.39
878.59	274.97
881.23	274.02
884.52	270.81
881.51	271.57
880.04	273.62
884.22	277.33
885.39	274.52
888.28	271.06
893.51	271.93
893.13	275.02
894.48	273.22
896.84	272.39
899.43	278.68
900.72	274.70
902.22	275.72
902.00	275.37
904.35	281.33
909.28	283.02
914.24	283.17
912.92	282.45
907.87	275.92
906.00	280.51
905.57	283.99
903.63	281.36
908.31	281.08
911.37	281.32
905.36	282.56
907.77	285.40
908.92	287.27
907.21	288.64
909.71	290.90
914.24	288.60
911.37	286.96
913.06	286.02
912.63	282.44
911.45	278.19
911.31	284.15
908.66	277.99
902.49	277.08
902.26	275.43
900.66	272.51
904.30	270.06
901.34	269.56
898.51	266.24
900.93	270.02
898.80	271.50
900.60	272.39
899.54	266.48
900.74	263.77
900.71	270.57
903.92	268.53
906.77	265.37
901.20	266.09
897.17	263.30
898.21	264.93
898.25	272.18
902.43	273.29
899.40	272.32
902.87	273.60
899.89	274.30
900.43	276.40
899.78	280.86
901.91	283.03
903.11	282.60
908.24	288.79
906.61	294.96
905.68	297.48
905.27	301.71
900.08	302.07
906.74	311.62
906.78	315.40
900.32	314.56
898.09	313.42
897.31	313.36
898.90	314.34
896.96	317.96
894.03	319.57
897.53	318.17
890.43	319.08
890.23	325.66
893.98	330.76
894.50	330.43
894.92	332.69
895.22	334.99
897.43	339.07
900.61	340.60
901.67	345.79
903.59	346.66
906.31	344.72
905.34	344.66
908.92	347.92
