Object Tracking Data File Wed, Jan 31, 2024 3:42 PM
X (pixels)  	Y (pixels)  
494.30	703.68
491.44	696.50
492.67	693.01
496.09	695.45
495.86	698.30
497.50	707.00
502.46	703.04
507.09	696.03
510.25	696.57
511.46	692.15
510.27	693.00
514.89	692.13
518.48	689.57
518.68	693.63
528.16	698.77
523.09	701.85
524.49	702.15
519.01	701.36
513.42	704.02
507.66	708.75
509.89	704.71
501.83	700.36
506.77	709.33
510.76	712.25
511.09	713.73
512.53	718.27
517.63	716.32
522.06	714.37
525.97	714.22
525.46	715.72
522.48	714.72
534.19	713.05
530.98	713.63
530.74	715.99
528.96	716.92
526.51	725.45
521.55	726.55
518.23	731.13
519.76	727.27
517.45	726.54
520.73	727.61
523.34	729.37
519.67	725.32
522.33	717.75
526.35	711.42
531.23	712.51
540.00	715.16
547.91	722.80
547.40	720.70
546.41	720.80
545.30	719.32
543.90	719.15
541.53	719.85
542.04	716.80
544.28	723.35
549.23	723.62
552.91	722.31
549.46	718.20
554.06	718.77
551.47	716.79
559.18	716.61
556.47	715.91
553.81	716.24
552.27	710.35
554.70	709.78
557.88	707.91
555.95	704.55
558.24	708.91
549.05	705.12
552.30	700.63
550.29	700.97
544.58	701.11
546.37	697.75
547.42	699.89
541.68	698.15
543.93	697.75
541.12	696.98
538.46	700.44
535.37	698.91
540.33	700.55
536.02	704.55
533.70	705.55
532.67	705.00
529.54	708.55
529.92	708.56
531.47	706.08
532.43	706.66
529.42	709.72
530.36	713.47
538.03	711.95
536.40	708.42
536.87	706.99
539.17	707.60
540.76	706.13
537.14	706.04
536.58	705.11
538.69	701.35
539.27	696.28
543.17	691.57
540.07	693.66
540.62	696.76
535.62	696.75
538.96	693.78
537.61	693.91
539.64	691.02
542.86	693.29
542.52	696.96
541.13	697.71
539.16	699.83
542.14	697.60
536.77	700.70
531.46	696.48
535.05	695.73
545.89	690.12
548.81	687.25
554.84	688.68
554.93	691.54
554.70	693.44
559.75	686.76
556.35	686.10
