Object Tracking Data File Wed, Jan 31, 2024 3:41 PM
X (pixels)  	Y (pixels)  
841.56	535.23
834.59	529.17
833.43	524.01
828.98	529.31
825.60	523.14
825.92	527.40
822.84	531.41
818.13	530.71
814.13	536.66
804.30	535.86
803.57	533.58
803.35	531.96
798.71	529.56
799.59	524.83
801.72	525.13
804.21	525.97
805.53	523.00
799.35	523.97
797.89	523.26
803.01	523.37
799.86	526.98
805.14	526.52
801.94	529.49
797.32	530.26
792.97	532.35
791.18	532.84
793.73	531.40
792.03	530.99
792.64	537.03
790.62	529.15
795.14	527.44
792.07	527.30
791.35	529.19
788.51	526.44
792.55	524.64
788.14	526.71
789.48	536.92
790.63	529.90
795.08	533.21
792.08	532.69
796.20	533.14
796.61	534.38
793.04	530.70
795.66	531.65
794.51	534.48
799.51	536.79
797.18	541.08
790.81	538.31
784.84	538.12
778.42	544.13
776.56	543.30
775.97	542.29
774.83	538.38
778.68	541.99
779.19	542.16
779.35	539.84
783.35	547.25
787.81	550.72
789.32	547.66
785.93	546.34
788.16	547.75
790.92	550.89
789.53	553.33
796.34	557.53
798.63	554.69
801.88	558.66
805.66	559.15
807.06	556.60
804.33	558.68
807.47	561.51
808.01	557.02
806.39	565.85
806.81	563.06
807.08	563.41
806.47	563.94
812.61	562.49
812.41	560.63
810.59	557.36
810.22	559.35
812.23	556.57
811.45	560.90
812.91	563.15
814.88	565.00
810.34	562.49
817.84	558.71
820.87	560.08
819.97	560.42
821.14	556.96
822.11	559.50
825.02	567.17
821.44	564.52
820.66	562.82
815.16	562.15
810.31	566.67
813.07	569.86
815.67	568.41
811.46	570.60
812.46	568.07
813.75	569.04
814.57	570.92
811.10	575.34
817.88	572.05
817.14	579.15
812.19	579.26
805.37	582.44
809.31	586.96
813.14	586.21
815.42	584.03
812.33	582.62
820.09	580.78
817.09	576.61
817.26	580.89
823.35	580.34
823.79	577.69
821.77	578.80
823.73	588.48
819.89	586.68
822.40	587.20
823.83	585.78
819.60	592.01
