Object Tracking Data File Wed, Jan 31, 2024 3:37 PM
X (pixels)  	Y (pixels)  
256.42	416.05
261.06	416.58
258.88	416.70
259.38	420.24
259.46	423.40
256.30	427.36
254.24	427.10
253.09	433.55
256.18	439.84
256.21	440.54
263.41	441.13
264.11	436.04
266.77	436.12
263.13	430.95
267.97	427.04
267.55	429.32
272.45	433.84
270.97	430.49
263.37	430.97
269.15	424.21
265.99	427.01
264.76	426.67
266.28	425.78
263.05	430.43
269.10	430.22
277.49	427.59
280.00	422.05
279.72	427.47
279.09	431.54
275.70	433.88
275.69	433.80
279.17	427.59
279.29	426.55
275.53	432.82
277.13	435.01
280.67	433.95
284.93	435.08
281.89	432.45
284.12	434.04
286.91	433.72
285.65	434.20
280.02	437.77
279.32	437.89
282.58	436.35
284.43	436.68
290.20	435.61
295.69	434.16
294.15	435.21
303.79	434.20
310.52	427.51
307.84	423.49
305.94	425.37
307.30	423.26
307.24	423.41
315.10	420.88
309.23	417.84
311.94	418.26
308.19	410.75
313.36	409.38
312.36	409.36
313.58	407.35
311.32	403.04
312.00	406.77
307.16	401.36
308.19	400.84
308.54	405.27
307.46	400.85
307.42	405.84
302.33	406.92
298.18	403.90
293.63	398.97
294.87	396.22
293.15	396.19
287.70	395.13
290.81	395.02
295.19	397.06
301.03	398.69
296.05	394.71
297.32	399.29
301.87	399.16
302.80	398.33
301.12	397.55
302.35	395.32
306.00	398.40
307.61	396.08
313.28	402.31
313.65	401.21
317.00	404.12
318.75	406.24
325.08	406.57
326.27	405.32
326.67	402.70
324.05	404.86
320.53	411.54
318.69	409.08
320.23	411.44
320.34	408.83
322.56	407.36
324.11	407.86
318.99	411.46
319.84	410.90
318.20	411.26
312.82	412.75
319.36	412.37
315.75	415.64
315.11	418.81
320.22	419.95
313.02	417.84
311.79	411.24
310.91	403.56
308.03	408.77
308.70	410.13
312.47	411.91
312.09	407.36
313.00	400.69
316.52	399.76
318.73	406.81
312.80	407.97
316.90	413.08
318.72	417.61
