Object Tracking Data File Wed, Jan 31, 2024 3:23 PM
X (pixels)  	Y (pixels)  
220.44	666.27
217.80	662.75
219.36	666.28
222.75	669.07
223.68	664.75
223.72	663.89
221.13	660.33
218.93	670.09
221.03	665.88
227.42	669.87
226.12	677.25
233.33	674.63
231.74	678.76
228.87	678.22
234.44	677.87
232.79	677.31
231.86	678.04
239.33	677.79
236.37	675.33
234.63	676.08
230.59	676.00
225.05	674.29
220.61	677.50
219.41	675.22
223.41	675.84
220.28	672.76
218.82	668.82
223.19	671.56
219.60	670.40
222.86	668.53
215.58	676.18
218.75	673.80
226.49	668.55
221.79	665.50
219.15	662.63
215.82	666.47
218.32	664.82
220.44	665.68
220.35	667.63
226.53	669.75
223.50	677.91
223.64	677.93
221.55	679.98
223.44	683.48
226.99	685.27
229.00	685.07
234.25	689.05
235.55	689.03
234.88	688.89
232.54	686.78
227.63	683.99
230.17	685.35
225.97	681.76
224.71	677.26
223.12	672.21
224.67	674.01
217.64	674.62
221.69	673.10
221.35	674.06
217.97	679.56
215.67	686.57
215.89	690.04
224.60	689.66
222.76	689.42
219.46	685.87
222.35	686.27
227.49	685.90
233.34	686.94
235.26	688.17
234.54	686.37
232.72	688.04
237.85	688.87
232.34	684.63
226.13	688.22
223.39	689.00
227.22	684.13
223.95	681.69
227.96	680.55
224.07	684.06
226.99	684.85
228.64	686.28
230.30	688.95
229.47	685.78
229.91	679.17
225.04	682.41
220.74	675.74
216.43	673.89
215.26	675.18
215.65	675.86
220.72	671.26
219.66	668.55
218.56	669.58
215.59	670.45
218.81	674.09
224.28	674.08
222.47	674.09
228.84	677.10
227.38	682.48
224.32	689.51
225.93	694.53
226.86	695.74
226.52	694.26
226.44	692.28
227.14	690.71
230.33	693.57
229.92	698.05
229.17	702.18
230.65	697.73
233.03	699.34
238.76	706.10
243.85	703.98
246.79	700.60
242.17	698.75
242.00	699.70
244.57	705.16
247.96	702.44
250.22	703.91
251.31	712.41
250.46	711.01
255.63	708.40
