Object Tracking Data File Wed, Jan 31, 2024 3:27 PM
X (pixels)  	Y (pixels)  
646.93	203.80
646.39	199.86
648.02	205.42
645.13	207.70
644.45	209.67
646.67	208.05
647.05	209.32
649.20	214.70
645.95	210.11
649.38	207.08
650.88	203.54
650.38	200.05
647.24	198.65
648.55	199.68
649.57	194.71
649.52	189.91
649.92	190.04
647.59	187.74
649.69	184.74
645.68	190.12
642.60	189.01
634.49	188.30
633.44	189.17
628.12	190.03
629.92	183.92
635.25	186.68
635.88	183.76
637.01	178.03
638.42	175.22
639.26	173.06
635.55	169.62
636.36	173.64
627.10	171.87
625.85	170.41
627.82	172.56
627.71	170.26
626.57	165.89
630.58	167.61
632.86	167.98
640.18	165.97
644.95	167.68
644.39	162.37
649.20	167.30
649.79	167.36
652.47	168.26
651.68	170.33
653.83	173.47
655.75	174.89
658.28	171.82
658.48	171.77
657.27	171.14
658.36	169.14
659.50	178.64
659.46	180.14
666.91	182.05
668.48	180.63
669.22	174.18
666.23	173.07
663.83	175.09
661.05	171.10
658.49	169.85
658.01	173.15
662.04	173.01
660.05	175.01
661.56	179.48
664.88	181.12
669.41	182.86
670.93	179.45
666.92	178.16
666.52	176.01
660.45	177.49
658.90	178.51
658.37	179.19
659.59	170.62
665.69	161.41
671.95	157.38
670.13	154.17
671.66	153.00
664.08	148.57
670.39	145.74
664.10	148.17
664.39	147.41
664.25	142.48
669.12	142.52
669.00	138.29
664.75	138.80
659.59	140.55
660.55	140.98
655.43	135.91
652.76	133.12
649.69	134.29
651.84	129.35
647.80	127.57
644.51	128.79
645.04	129.63
641.71	127.58
641.52	125.11
646.02	121.17
651.66	119.64
657.34	117.75
657.97	120.16
661.74	117.17
659.80	119.84
659.40	125.75
664.14	125.14
670.93	122.75
676.08	122.68
678.10	126.60
671.74	119.90
678.84	118.66
678.65	116.55
679.97	116.93
679.09	116.46
681.53	113.20
687.92	114.67
688.05	121.58
685.48	120.64
691.42	120.84
698.61	123.34
702.85	121.81
