Object Tracking Data File Wed, Jan 31, 2024 3:23 PM
X (pixels)  	Y (pixels)  
334.10	89.32
332.72	92.49
329.67	92.51
324.44	92.80
327.71	96.69
334.42	92.00
333.11	95.52
336.73	92.19
338.19	84.20
341.57	81.41
342.90	81.61
346.15	82.57
342.40	79.08
346.34	74.65
346.78	73.90
343.45	75.23
342.49	80.85
337.21	88.18
337.69	87.46
341.67	83.69
343.13	86.03
343.23	81.99
344.25	79.69
339.63	75.91
341.26	74.59
342.85	77.88
343.78	77.45
342.21	79.55
344.38	73.91
342.51	73.00
338.30	66.43
335.02	69.43
336.06	64.96
335.00	62.17
331.72	59.19
331.96	58.82
327.09	61.09
323.63	71.92
321.22	71.52
321.26	67.92
324.11	68.11
326.93	66.77
325.38	69.03
318.69	68.64
317.61	66.65
318.09	69.46
319.29	72.33
326.75	69.92
328.71	69.17
334.50	77.24
335.64	77.95
333.60	79.50
335.53	80.03
329.14	83.39
327.26	84.07
326.61	90.18
329.48	88.09
321.71	86.13
319.11	89.55
312.88	95.07
310.51	99.92
308.50	100.77
306.19	105.38
306.27	104.14
311.02	110.37
316.75	108.50
312.10	110.73
305.16	111.34
310.57	113.99
301.99	115.57
301.84	121.18
305.56	123.82
307.36	124.11
303.77	123.48
302.13	117.68
305.87	115.34
308.79	110.16
301.62	107.58
303.53	108.05
310.09	111.97
307.83	116.00
309.92	116.43
308.23	115.39
304.07	114.43
316.62	109.28
309.98	111.18
311.06	108.76
306.94	102.21
304.84	104.22
309.59	106.47
312.92	108.19
313.41	108.31
313.96	108.09
315.24	105.63
312.60	112.38
307.90	110.67
309.53	111.65
315.33	112.43
317.92	109.43
322.06	107.57
327.25	112.28
325.08	108.62
314.78	111.41
316.49	115.12
317.16	115.07
317.83	115.31
311.21	115.70
309.45	113.86
313.23	107.13
312.01	107.75
313.27	108.26
317.21	110.11
318.26	115.38
320.97	116.16
323.42	115.59
321.68	119.29
319.10	120.06
322.19	120.91
319.76	120.53
322.56	119.92
