Object Tracking Data File Wed, Jan 31, 2024 3:42 PM
X (pixels)  	Y (pixels)  
1018.75	572.97
1020.84	575.96
1020.68	573.97
1019.01	577.22
1018.87	575.70
1021.07	573.69
1019.64	571.31
1016.00	568.28
1012.31	565.61
1006.69	558.56
1005.09	554.05
1002.93	554.58
1001.85	550.15
1000.56	541.05
992.87	540.19
991.75	544.37
994.81	546.04
998.94	547.32
997.11	544.24
996.38	548.77
991.87	547.47
993.46	537.19
990.57	535.13
988.36	534.67
982.47	543.49
978.91	537.79
978.32	539.79
980.46	539.69
981.01	546.15
981.04	548.07
982.19	548.64
987.13	547.76
986.58	544.93
986.14	548.07
984.11	545.89
983.25	548.73
979.02	549.75
975.38	546.26
970.79	549.01
971.58	548.88
970.99	544.95
972.96	553.07
971.31	555.91
973.12	555.91
970.22	555.06
969.55	553.27
974.71	554.43
972.42	557.92
974.47	563.09
973.42	563.89
969.73	562.21
974.09	563.69
968.07	567.76
974.18	563.49
969.52	555.84
975.03	560.12
971.49	552.32
971.53	552.01
974.76	552.79
979.09	556.50
981.44	558.00
977.09	562.20
982.94	562.05
985.70	562.95
987.50	560.00
985.21	557.41
987.34	554.84
983.85	560.71
982.98	557.93
982.59	555.46
977.38	555.83
978.49	559.21
984.24	562.18
988.18	560.61
989.45	561.10
992.80	558.08
996.36	557.83
1007.04	552.93
1010.11	544.87
1009.25	548.28
1010.55	548.05
1011.61	555.15
1012.24	556.29
1018.93	552.36
1018.84	558.24
1020.23	563.67
1017.17	564.62
1021.06	564.97
1022.79	559.03
1022.38	558.80
1027.24	566.34
1025.34	569.99
1027.45	576.46
1024.51	572.62
1024.57	572.97
1027.03	566.38
1023.35	565.02
1026.21	569.50
1023.27	571.05
1023.75	571.50
1024.02	570.12
1026.52	575.34
1031.61	573.55
1027.51	579.34
1028.68	582.90
1026.36	581.72
1029.90	579.27
1035.05	579.75
1034.24	576.43
1035.11	578.95
1033.76	578.83
1032.30	579.76
1035.71	579.23
1038.34	579.22
1033.42	585.51
1035.83	587.27
1038.39	585.23
1033.48	584.53
1027.10	580.56
1024.37	579.72
