Object Tracking Data File Wed, Jan 31, 2024 3:37 PM
X (pixels)  	Y (pixels)  
462.40	615.61
464.76	615.32
467.00	609.81
462.25	610.75
455.06	612.01
457.95	612.73
455.44	607.21
455.32	610.23
451.99	607.79
453.94	608.64
457.76	613.02
456.61	610.04
457.18	602.48
456.13	605.28
461.01	604.46
461.88	605.09
456.65	610.04
461.08	614.09
465.64	616.14
458.75	614.27
457.06	613.61
462.03	614.65
463.42	615.95
459.99	615.23
464.93	625.64
467.56	620.88
467.70	621.17
467.40	618.08
468.90	613.10
467.26	617.51
471.43	617.03
475.70	619.05
475.82	618.24
480.77	621.80
477.32	622.71
477.19	626.12
477.34	622.74
468.96	632.18
463.78	631.27
469.59	633.00
464.50	621.65
456.22	616.33
455.57	609.73
459.58	609.26
455.15	609.68
451.63	606.08
446.78	601.52
446.88	593.84
442.58	597.51
438.51	595.25
440.19	597.38
443.67	596.68
448.33	600.83
447.09	599.94
443.43	598.38
437.11	597.92
443.37	596.44
443.24	598.64
444.76	599.82
446.25	599.87
441.66	595.54
440.66	592.15
440.51	598.92
446.82	595.27
442.73	592.15
439.39	591.21
437.78	586.09
443.26	586.95
442.75	591.41
447.83	586.41
452.05	584.31
454.57	585.29
452.22	580.96
464.86	583.92
473.68	583.15
477.00	586.31
476.22	590.73
476.55	593.36
479.08	590.68
475.82	587.62
481.41	585.22
477.76	582.35
481.77	589.20
479.57	594.08
474.25	591.98
468.93	592.62
464.69	592.30
463.33	592.32
462.48	596.01
464.46	604.77
464.14	606.10
461.30	609.35
466.01	608.23
467.72	608.30
471.98	610.89
476.31	609.23
483.23	604.47
481.62	600.01
483.98	603.98
483.26	598.72
482.83	597.96
491.82	603.83
488.36	602.18
493.71	601.08
489.94	601.37
485.97	602.39
488.13	601.96
481.43	603.08
476.92	602.24
483.92	601.31
481.59	608.47
484.93	609.70
485.09	608.63
484.26	605.66
489.45	612.99
492.06	612.44
494.26	610.00
491.77	611.59
490.58	619.45
493.97	620.31
