Object Tracking Data File Wed, Jan 31, 2024 3:21 PM
X (pixels)  	Y (pixels)  
311.86	337.31
318.40	336.51
316.27	332.61
311.07	337.56
319.95	334.98
327.00	337.97
327.39	337.58
328.90	332.73
333.24	327.09
329.31	324.46
329.99	329.04
330.91	330.59
331.24	334.19
333.99	335.50
333.67	337.07
338.35	336.15
331.44	330.43
324.83	334.69
320.89	340.54
316.35	345.39
325.61	339.00
324.15	333.39
325.74	330.04
326.89	329.34
331.64	328.67
331.21	328.08
328.94	329.15
327.32	332.73
319.17	331.19
321.95	330.80
323.45	330.24
325.85	332.63
327.34	325.30
326.36	328.03
325.62	322.27
329.18	321.42
336.52	323.19
341.12	326.22
341.76	321.29
344.23	323.65
346.62	319.24
352.06	322.99
343.45	322.16
343.52	319.33
340.50	314.97
336.88	315.18
337.20	315.89
336.48	310.61
333.53	310.66
332.51	310.50
329.03	308.75
329.22	306.74
328.58	306.69
333.31	315.35
333.21	317.75
333.75	317.74
334.23	313.20
332.99	307.40
334.67	304.44
340.80	310.11
344.64	303.41
343.33	300.82
344.78	301.44
338.59	306.86
341.82	312.23
344.87	312.60
346.42	313.92
346.10	315.40
350.35	312.52
354.13	308.48
358.68	308.43
359.27	313.48
364.93	309.77
363.32	312.17
364.97	311.83
368.37	315.35
379.17	315.90
378.95	318.31
375.99	319.51
381.33	324.02
381.33	326.00
379.79	328.71
385.71	335.15
382.56	334.82
391.11	336.51
395.30	341.33
396.09	338.40
396.43	341.06
396.28	338.41
392.66	334.63
392.61	338.54
395.42	338.36
392.41	341.48
391.49	341.36
395.19	340.37
403.38	340.55
408.46	346.13
412.63	347.40
412.27	343.77
410.57	351.10
407.33	343.90
409.54	345.93
409.19	343.93
410.35	349.34
408.85	345.90
407.78	354.26
408.26	350.37
411.74	349.26
411.01	347.01
407.84	350.73
405.62	348.61
409.29	346.49
407.20	350.05
407.65	350.79
408.55	354.32
409.41	356.72
408.09	357.85
406.56	362.08
411.76	360.58
405.13	361.84
