Object Tracking Data File Wed, Jan 31, 2024 3:35 PM
X (pixels)  	Y (pixels)  
858.19	708.25
856.48	710.38
854.42	708.04
857.88	709.28
855.79	707.24
854.95	709.18
853.72	711.54
849.82	710.17
854.24	710.03
855.88	705.33
856.71	710.16
862.91	711.38
861.69	711.10
862.33	715.41
867.65	721.96
865.32	724.30
867.99	725.54
861.56	722.82
860.18	721.40
857.05	722.06
858.87	723.07
863.11	723.48
866.69	723.38
861.60	724.18
863.31	726.23
859.20	726.20
856.34	720.50
855.87	721.31
851.22	720.12
851.60	715.48
855.79	714.71
853.34	716.89
857.93	720.81
861.30	722.72
859.29	722.43
857.66	721.18
859.49	724.37
860.21	718.58
858.30	715.55
855.25	713.13
849.68	715.90
852.54	717.59
855.56	713.57
855.56	712.64
856.28	709.46
862.49	712.33
864.70	709.77
867.24	708.49
863.77	716.84
861.40	719.66
866.18	720.90
862.84	719.42
854.39	717.73
857.91	724.45
857.36	726.66
855.80	727.78
853.04	725.29
845.80	726.48
845.74	727.27
845.17	731.26
837.81	732.80
840.99	727.06
836.23	731.94
833.00	734.12
827.35	737.11
828.78	730.15
831.42	726.19
837.56	729.79
833.26	727.29
834.08	725.04
834.79	722.23
837.65	727.49
841.25	731.91
839.43	738.77
839.63	736.83
839.57	735.32
839.35	738.89
839.33	736.18
839.08	736.90
845.26	736.15
844.86	737.07
845.57	741.39
850.28	743.85
855.81	743.19
858.41	738.36
850.54	741.42
847.90	743.45
844.48	746.62
850.21	757.04
847.41	757.30
842.24	758.65
841.45	752.67
846.70	754.48
849.66	750.67
848.25	757.74
857.30	757.18
856.02	754.79
857.51	750.97
862.99	755.23
862.76	753.34
864.35	753.27
867.13	753.47
868.73	756.73
860.54	756.10
865.21	756.31
861.72	750.02
862.29	750.69
863.98	758.89
863.16	761.94
864.01	763.26
863.38	768.16
862.24	770.03
871.52	785.16
866.51	787.24
860.45	780.21
858.09	780.81
864.45	781.42
865.73	777.44
869.12	778.60
869.81	783.22
