Object Tracking Data File Wed, Jan 31, 2024 3:18 PM
X (pixels)  	Y (pixels)  
281.74	156.87
280.87	159.48
278.85	156.04
279.64	156.73
274.86	157.21
276.33	154.28
276.46	156.82
280.49	160.50
280.57	161.11
282.42	166.49
285.24	171.61
279.86	174.80
275.65	177.80
271.43	175.98
272.34	174.81
271.43	170.54
269.95	173.52
266.47	174.02
263.27	172.17
266.34	167.67
267.98	168.91
259.21	168.59
262.06	164.84
262.28	164.52
256.19	163.32
256.38	160.24
257.27	156.43
256.12	159.34
256.57	157.23
259.33	157.49
264.34	150.20
258.67	153.73
261.45	154.21
263.08	155.58
262.68	159.83
264.46	167.64
262.31	165.96
258.23	171.45
261.03	175.72
262.14	168.78
266.22	170.34
271.22	173.64
278.49	178.08
272.73	173.89
274.15	177.14
277.96	177.67
278.96	180.48
281.53	179.11
286.48	181.24
282.31	179.71
275.70	179.50
287.41	177.62
287.80	179.08
293.11	179.05
291.98	176.02
293.57	177.81
293.20	175.43
290.27	176.05
296.62	180.52
295.38	183.23
298.09	188.54
297.86	193.23
289.24	201.30
298.68	203.80
289.28	208.04
281.52	207.76
282.55	214.09
283.16	209.28
283.94	207.66
280.75	209.04
275.16	210.65
280.66	211.87
282.09	213.84
283.88	215.84
286.41	204.44
281.47	208.18
281.73	215.92
279.35	217.43
275.03	218.88
278.01	217.51
280.51	218.75
277.15	216.78
274.80	216.35
270.46	219.13
270.07	219.13
268.19	227.09
261.37	225.88
260.00	224.64
254.26	217.90
250.65	213.63
250.76	213.47
254.12	209.59
244.93	206.52
243.10	212.33
239.73	217.48
241.92	220.55
246.24	221.22
243.55	222.31
246.38	223.80
246.03	227.20
245.52	221.74
246.21	222.29
247.64	224.26
247.92	224.87
248.31	222.11
246.36	221.04
246.50	223.56
242.97	225.12
239.63	224.40
242.32	226.18
246.17	224.76
249.72	221.21
252.64	226.92
255.86	224.98
250.90	226.96
251.63	224.85
252.24	226.14
255.31	227.93
256.09	229.00
258.54	234.17
