Object Tracking Data File Wed, Jan 31, 2024 3:15 PM
X (pixels)  	Y (pixels)  
871.90	627.23
872.27	630.92
875.49	631.44
871.98	626.06
870.48	629.65
870.87	641.37
872.28	644.76
877.14	641.49
871.47	641.79
876.02	642.21
885.62	642.74
881.10	643.84
880.67	640.44
883.94	645.37
888.87	648.74
886.48	653.48
886.74	654.53
880.18	652.03
879.77	652.37
887.89	650.94
882.65	649.75
877.75	654.54
877.70	656.58
879.35	665.53
880.31	670.73
881.64	673.55
882.43	675.52
879.28	671.60
879.83	670.67
878.86	669.02
881.43	665.21
880.37	670.44
881.13	673.98
882.36	675.57
883.75	675.31
881.02	673.18
879.63	674.18
882.38	674.18
879.33	679.43
879.44	679.57
885.79	680.65
889.00	685.54
886.72	691.38
891.13	689.14
888.09	690.18
888.20	685.99
889.42	687.60
886.63	690.66
887.77	690.39
884.42	694.80
886.10	696.31
887.27	693.87
886.74	694.24
881.63	691.46
882.25	689.05
886.21	689.98
887.28	694.33
888.28	693.95
887.10	687.60
884.62	686.35
888.95	684.77
887.72	682.16
888.22	683.16
889.81	682.21
889.17	678.61
893.23	680.94
898.83	681.64
898.07	690.64
896.53	695.36
897.95	694.50
897.47	701.09
894.83	698.54
891.48	697.44
892.75	696.89
884.82	692.99
890.64	693.84
886.98	691.94
885.71	691.41
890.12	692.44
899.01	690.87
904.51	692.43
909.55	694.91
911.76	694.38
910.34	695.75
908.68	692.34
913.91	690.94
910.49	689.36
914.14	691.27
915.63	688.44
918.79	687.45
921.30	682.94
922.62	683.33
919.95	682.42
920.03	678.18
918.90	675.71
917.68	674.62
916.88	673.96
918.95	673.38
919.27	674.34
918.57	671.53
915.29	669.65
922.22	671.32
923.91	673.07
919.97	667.29
921.72	670.11
927.59	670.60
925.93	674.77
929.65	679.20
930.54	678.76
930.25	681.11
929.23	683.43
923.54	680.37
924.38	680.97
923.41	685.76
923.14	681.79
919.50	675.52
915.57	681.09
918.52	691.66
926.05	690.00
925.01	688.89
