Object Tracking Data File Wed, Jan 31, 2024 3:25 PM
X (pixels)  	Y (pixels)  
547.04	517.00
557.36	524.15
560.09	526.11
560.77	526.33
558.71	527.05
553.52	530.14
548.79	533.52
551.69	533.11
556.14	531.07
554.39	530.44
554.63	536.33
553.69	535.09
557.88	538.79
557.48	534.89
562.11	528.57
562.05	525.63
561.24	528.23
567.38	532.00
565.95	534.88
564.51	536.92
563.09	544.58
564.82	547.75
564.11	540.94
568.99	541.70
569.65	537.40
571.86	537.23
569.51	533.72
565.75	536.11
566.74	535.83
563.54	534.18
566.63	539.12
566.12	541.02
562.90	544.05
570.86	536.59
572.04	545.56
569.53	547.09
570.84	543.01
567.60	546.67
569.86	547.12
567.21	547.87
557.51	552.02
557.00	552.64
562.71	553.03
565.45	554.70
570.54	550.68
565.97	549.93
568.85	550.92
574.19	542.77
569.54	541.97
570.02	543.45
567.41	540.19
574.07	535.46
574.24	533.12
577.64	530.09
585.31	529.25
579.46	530.37
577.98	524.76
580.86	522.38
582.02	514.74
574.41	512.99
580.82	517.53
577.60	515.89
575.23	516.98
572.47	516.19
568.46	516.18
567.71	512.14
561.42	510.16
553.19	510.43
549.87	507.00
545.40	505.16
549.21	508.37
555.39	505.40
555.49	510.61
558.85	507.03
560.01	503.83
556.86	503.53
553.47	504.34
552.67	502.87
553.96	500.05
554.27	498.83
563.69	497.69
557.61	491.14
556.08	487.87
557.14	486.26
560.35	481.17
561.21	475.06
564.40	475.40
561.49	480.16
558.17	480.72
554.91	477.72
555.95	475.35
555.25	476.02
556.78	475.47
557.03	478.22
561.44	477.62
566.59	469.61
565.06	470.37
561.32	466.74
560.04	467.79
554.91	469.15
552.82	467.01
558.31	462.25
549.91	466.94
546.95	471.36
548.70	474.16
548.11	472.72
549.02	471.27
549.28	469.65
548.78	473.49
549.95	470.83
552.50	465.38
550.49	468.86
548.29	464.54
547.93	462.14
546.67	465.06
555.01	464.91
553.29	465.39
551.10	468.04
547.13	470.34
552.46	473.85
