Object Tracking Data File Wed, Jan 31, 2024 3:44 PM
X (pixels)  	Y (pixels)  
433.39	62.27
429.64	63.16
430.57	65.04
428.00	55.16
428.21	53.26
432.03	52.11
428.89	48.74
425.56	50.48
421.81	50.37
420.70	49.67
427.69	51.55
426.60	58.94
426.73	62.09
420.56	65.25
425.43	62.29
427.11	67.04
428.90	67.42
427.94	68.04
428.24	66.77
425.64	68.87
423.94	68.82
428.43	63.76
426.92	73.25
422.97	79.16
425.01	78.88
423.22	77.96
428.97	77.09
422.25	79.98
415.73	75.80
415.51	69.14
416.67	74.78
419.14	77.56
421.85	77.41
422.15	77.54
423.99	80.76
423.55	84.46
427.48	83.57
427.34	81.80
425.67	81.19
428.31	82.60
424.10	87.97
425.60	91.18
423.81	88.30
428.95	82.54
433.43	79.16
433.35	76.25
435.54	79.05
434.16	77.39
435.11	77.55
439.93	79.42
437.27	79.76
435.44	81.75
434.14	79.02
436.87	80.92
435.69	84.60
435.21	92.04
432.39	86.90
431.35	87.13
429.24	88.27
428.23	91.50
426.93	89.32
419.14	85.26
416.56	87.15
414.74	87.19
412.55	84.75
416.22	88.14
418.36	93.17
409.23	92.45
408.27	94.09
410.46	95.67
410.57	94.11
409.47	93.73
406.22	95.44
412.72	98.28
409.25	97.28
412.69	95.23
412.77	97.35
417.51	95.73
414.92	96.63
420.02	101.57
422.31	103.49
418.78	106.63
415.83	107.79
412.65	113.15
414.46	113.86
418.05	116.34
422.19	115.39
429.31	119.67
431.16	123.38
432.01	123.90
432.58	127.70
434.18	128.46
436.55	129.52
440.66	132.12
439.08	129.14
439.86	129.63
436.99	125.71
434.79	123.37
438.11	123.71
441.16	124.41
436.05	122.06
436.06	118.18
434.47	121.47
434.29	116.86
445.60	108.96
442.74	109.32
441.20	115.34
446.81	118.64
442.80	109.03
440.33	105.15
442.78	107.36
436.64	105.39
435.50	100.94
435.75	107.08
433.76	110.35
433.14	109.37
438.22	108.20
441.23	106.82
444.88	103.12
442.82	105.99
