Object Tracking Data File Wed, Jan 31, 2024 3:27 PM
X (pixels)  	Y (pixels)  
527.71	197.98
528.42	196.76
522.18	200.76
518.51	198.91
517.80	196.84
518.56	197.61
519.91	198.76
517.27	202.49
510.16	195.84
512.36	197.35
518.78	190.08
512.14	192.77
512.76	201.86
513.75	197.76
511.96	200.00
514.11	204.61
510.22	203.66
510.70	204.78
512.19	204.64
508.95	213.03
503.39	214.67
503.52	219.00
498.24	218.65
493.84	217.80
491.26	213.64
494.59	213.90
493.19	215.24
491.39	215.30
498.37	218.56
497.69	219.00
499.87	214.05
506.21	212.42
504.18	214.42
497.47	216.98
498.30	216.70
496.02	213.47
493.95	218.70
495.88	217.24
494.22	218.70
486.79	211.84
488.94	205.20
491.40	202.99
490.94	202.33
491.36	199.96
494.18	200.38
486.03	208.45
484.64	210.21
479.70	205.87
477.01	206.91
474.68	205.89
469.03	204.12
469.63	199.22
466.12	199.99
469.01	202.32
473.94	200.92
476.41	201.24
481.43	201.15
481.64	201.85
480.96	201.35
478.14	205.15
473.39	203.41
478.64	204.32
484.15	207.17
481.44	206.36
476.11	211.73
474.20	208.61
477.76	214.62
473.47	212.92
474.58	213.58
472.07	216.71
472.80	219.73
470.52	222.91
473.58	226.02
469.86	222.59
470.30	224.08
474.93	222.53
476.65	226.53
483.46	232.07
483.45	233.78
486.02	236.82
487.20	243.66
490.31	240.07
488.19	238.59
487.73	231.72
488.20	232.20
488.99	230.21
485.94	233.71
487.02	232.23
485.69	226.54
483.60	229.15
485.47	229.46
483.76	227.65
481.67	234.46
477.75	237.13
482.48	231.37
478.14	237.52
477.57	231.47
482.64	230.10
481.41	230.81
479.07	228.86
480.08	227.12
474.54	221.21
472.89	221.19
471.66	216.28
469.09	215.17
469.46	215.26
472.47	214.29
475.05	209.70
478.02	212.10
477.76	214.66
472.03	216.85
468.66	219.00
469.98	217.70
474.55	215.51
472.69	217.26
476.40	220.83
474.17	220.33
474.46	215.65
475.67	220.16
479.48	224.07
