Object Tracking Data File Wed, Jan 31, 2024 3:25 PM
X (pixels)  	Y (pixels)  
274.41	380.98
272.59	382.99
276.33	380.52
270.66	383.66
273.98	384.33
276.83	377.25
273.33	375.70
278.23	376.28
278.17	378.99
278.85	375.63
278.17	375.90
273.56	375.54
269.95	375.84
263.33	375.04
268.12	375.91
267.08	373.77
263.96	372.34
266.70	372.14
266.68	373.29
267.85	372.66
268.75	371.87
265.38	372.48
267.08	375.02
265.04	377.19
271.27	375.94
270.44	379.64
281.40	377.02
278.60	374.69
278.42	377.68
281.84	377.37
281.67	381.31
275.67	381.28
278.73	380.44
273.71	381.95
271.84	385.06
269.97	390.13
273.28	391.27
278.61	390.46
280.19	391.11
284.59	389.61
278.34	388.08
277.84	387.16
273.37	384.19
276.09	384.37
277.88	381.45
277.06	383.39
286.54	382.63
288.26	378.75
284.47	382.32
286.22	380.20
290.03	379.57
294.27	381.75
292.15	383.00
296.23	378.01
294.18	371.02
291.27	365.46
290.52	365.69
292.86	371.46
295.74	372.49
287.04	371.09
291.12	369.73
285.70	375.60
284.92	384.80
291.75	384.94
300.85	385.17
302.26	379.42
299.30	383.68
304.95	382.32
301.09	381.85
307.28	379.76
317.07	376.29
318.26	381.27
316.15	378.42
317.97	379.99
318.83	383.67
321.55	385.79
318.74	380.94
320.00	375.07
315.97	381.39
310.80	381.55
314.65	380.23
311.45	379.98
312.95	382.84
313.43	385.67
311.60	382.52
314.85	383.73
315.53	377.70
317.41	370.24
315.74	369.77
317.87	367.38
322.29	364.26
327.28	359.82
333.66	358.91
332.68	362.31
326.00	362.61
325.29	366.41
328.60	360.38
329.51	358.59
331.75	360.68
335.23	365.22
339.18	360.03
336.50	361.16
333.09	368.18
332.86	368.98
328.24	367.10
325.07	368.86
326.05	362.26
322.77	367.43
321.82	369.93
328.28	371.04
326.88	370.51
325.51	365.05
329.37	360.91
333.44	354.91
330.66	357.02
326.61	357.47
327.63	361.46
330.76	362.89
330.41	364.18
334.06	367.14
