Object Tracking Data File Wed, Jan 31, 2024 3:39 PM
X (pixels)  	Y (pixels)  
1144.91	72.73
1144.32	73.61
1143.29	71.09
1141.11	75.15
1133.10	71.86
1127.57	76.98
1129.33	80.12
1123.37	83.73
1128.72	82.69
1128.06	81.42
1127.21	86.42
1129.26	86.11
1128.22	84.47
1133.76	86.29
1136.01	85.20
1134.78	84.41
1136.07	81.58
1135.27	82.26
1135.85	85.32
1137.26	84.89
1137.25	82.34
1140.70	80.39
1138.46	76.31
1136.12	75.69
1133.61	71.37
1130.79	75.02
1130.99	69.85
1133.46	74.87
1130.77	75.71
1129.09	78.55
1134.89	77.83
1134.06	77.19
1132.07	80.12
1138.00	80.94
1140.00	84.63
1141.78	87.75
1141.84	88.39
1140.70	90.25
1135.80	88.01
1137.58	86.70
1134.28	95.11
1130.28	97.57
1131.93	95.19
1128.72	95.78
1129.57	93.70
1128.15	94.24
1123.92	94.27
1125.56	95.01
1120.23	95.91
1122.90	95.54
1122.60	92.61
1120.79	99.93
1111.23	98.60
1114.97	104.62
1113.67	101.56
1111.95	107.98
1117.57	105.00
1115.45	103.40
1113.49	101.83
1120.06	99.45
1123.49	103.47
1127.52	110.10
1125.45	114.75
1126.15	116.29
1128.77	116.90
1132.55	117.76
1131.01	112.60
1128.09	118.61
1128.19	112.06
1126.22	117.83
1127.50	120.77
1131.51	131.58
1132.72	143.59
1130.89	153.99
1123.43	152.81
1125.70	150.30
1129.39	148.25
1134.28	144.18
1132.33	140.79
1135.73	142.50
1138.56	141.66
1138.23	138.11
1147.54	138.81
1147.79	139.65
1152.18	141.86
1154.94	144.76
1152.36	150.38
1148.08	154.64
1147.06	154.89
1147.13	157.88
1149.92	151.93
1148.54	147.01
1146.98	142.42
1145.92	145.58
1147.12	146.27
1145.92	148.23
1140.99	149.54
1137.09	151.05
1139.54	153.08
1141.67	150.41
1150.45	150.85
1152.09	153.40
1146.14	150.34
1144.22	150.47
1145.09	156.85
1143.83	160.04
1148.74	157.92
1143.48	160.46
1143.31	159.28
1146.31	163.96
1150.76	161.68
1153.48	154.20
1148.90	160.23
1145.67	159.06
1144.26	163.81
1144.13	171.83
1146.73	170.98
1150.41	170.10
1158.84	186.65
1163.75	193.68
