Object Tracking Data File Wed, Jan 31, 2024 3:43 PM
X (pixels)  	Y (pixels)  
879.26	111.38
879.93	111.42
876.19	107.46
875.33	105.93
870.30	104.25
868.96	104.73
868.82	104.51
866.84	105.84
863.88	102.14
870.43	99.24
867.72	96.98
868.94	96.06
873.35	93.13
873.38	89.86
875.56	90.03
875.34	88.05
871.25	86.53
867.12	87.92
871.12	91.61
870.59	90.92
863.63	96.43
866.00	93.84
866.19	98.80
867.97	103.37
869.20	107.53
865.88	112.60
865.24	114.74
864.91	109.97
862.35	114.64
865.53	117.81
861.55	124.41
862.66	126.07
863.83	124.22
859.37	127.53
859.65	122.61
863.61	117.23
862.97	120.26
864.17	120.13
864.86	124.77
872.54	128.06
869.27	130.88
862.71	130.54
865.14	128.29
872.35	126.39
873.13	125.32
875.12	123.15
877.91	123.90
879.78	122.19
878.45	123.49
880.96	123.06
881.42	122.62
882.28	122.43
873.57	127.78
873.98	128.48
880.10	132.95
878.54	134.49
881.53	133.00
880.00	135.98
878.39	136.67
877.97	144.90
883.51	143.76
888.75	146.96
887.36	142.42
892.60	142.06
888.99	144.16
893.29	147.84
893.25	146.56
900.47	145.75
905.54	142.53
907.07	143.72
902.06	144.14
898.79	140.98
896.03	136.55
894.82	135.68
892.35	136.92
894.33	139.92
894.90	138.81
892.16	142.93
890.24	143.89
894.31	138.19
895.09	134.33
891.26	132.58
892.20	129.33
895.69	124.37
897.94	123.88
895.27	128.02
894.79	128.90
895.45	128.39
894.54	128.96
894.34	128.46
894.11	132.01
887.75	133.35
891.12	134.81
889.96	137.22
891.01	130.94
892.75	134.93
886.31	136.33
882.61	137.60
879.98	143.76
881.92	145.48
886.53	146.19
881.24	146.17
882.32	147.33
884.82	141.85
883.79	140.07
889.57	144.98
894.59	145.48
894.44	146.18
892.07	142.07
893.27	140.03
889.54	142.03
889.94	134.80
890.27	135.66
889.29	137.96
889.05	136.98
891.85	135.88
896.24	133.80
896.59	131.33
898.85	129.02
899.85	130.04
